#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,-0.0475829136003769,-8.69882323407832
-4.99875,-0.0438746663249139,-8.7234098161315
-4.9975,-0.0455602332683062,-8.67072428316041
-4.99625,-0.0472458002116984,-8.48808110219394
-4.995,-0.0462344600456631,-8.60750164359509
-4.99375,-0.0438746663249139,-8.7234098161315
-4.9925,-0.0428633261588785,-8.72692218499624
-4.99125,-0.0479200269890553,-8.72692218499624
-4.99,-0.0496055939324476,-8.72692218499624
-4.98875,-0.0475829136003769,-8.59696453700087
-4.9875,-0.0465715734343415,-8.42134609376389
-4.98625,-0.0485942537664122,-8.70233560294306
-4.985,-0.0506169340984829,-8.72692218499624
-4.98375,-0.0502798207098045,-8.72692218499624
-4.9825,-0.0442117797135923,-8.7234098161315
-4.98125,-0.0445488931022708,-8.7234098161315
-4.98,-0.0472458002116984,-8.53374189743556
-4.97875,-0.0472458002116984,-8.53022952857082
-4.9775,-0.0445488931022708,-8.72692218499624
-4.97625,-0.0435375529362354,-8.7234098161315
-4.975,-0.0458973466569846,-8.72692218499624
-4.97375,-0.049942707321126,-8.72692218499624
-4.9725,-0.0482571403777338,-8.64613770110723
-4.97125,-0.04690868682302,-8.42134609376389
-4.97,-0.0475829136003769,-8.58993979927139
-4.96875,-0.0502798207098045,-8.72692218499624
-4.9675,-0.0512911608758398,-8.72692218499624
-4.96625,-0.0458973466569846,-8.7234098161315
-4.965,-0.0445488931022708,-8.7234098161315
-4.96375,-0.0465715734343415,-8.61803875018931
-4.9625,-0.0475829136003769,-8.49510583992342
-4.96125,-0.0458973466569846,-8.70936034067254
-4.96,-0.0435375529362354,-8.72692218499624
-4.95875,-0.0438746663249139,-8.7234098161315
-4.9575,-0.049942707321126,-8.72692218499624
-4.95625,-0.0492684805437691,-8.72692218499624
-4.955,-0.0475829136003769,-8.52320479084134
-4.95375,-0.04690868682302,-8.49159347105868
-4.9525,-0.049942707321126,-8.72692218499624
-4.95125,-0.0512911608758398,-8.72692218499624
-4.95,-0.0482571403777338,-8.7234098161315
-4.94875,-0.0442117797135923,-8.7234098161315
-4.9475,-0.0458973466569846,-8.66369954543092
-4.94625,-0.0479200269890553,-8.47754399559972
-4.945,-0.04690868682302,-8.61452638132457
-4.94375,-0.0442117797135923,-8.72692218499624
-4.9425,-0.0435375529362354,-8.7234098161315
-4.94125,-0.0485942537664122,-8.72692218499624
-4.94,-0.049942707321126,-8.72692218499624
-4.93875,-0.0479200269890553,-8.58291506154191
-4.9375,-0.04690868682302,-8.47403162673498
-4.93625,-0.0489313671550907,-8.7058479718078
-4.935,-0.0509540474871614,-8.72692218499624
-4.93375,-0.0509540474871614,-8.72692218499624
-4.9325,-0.0448860064909492,-8.71989744726676
-4.93125,-0.0452231198796277,-8.7234098161315
-4.93,-0.0475829136003769,-8.56184084835347
-4.92875,-0.0472458002116984,-8.53374189743556
-4.9275,-0.0448860064909492,-8.7234098161315
-4.92625,-0.0435375529362354,-8.7234098161315
-4.925,-0.0462344600456631,-8.7234098161315
-4.92375,-0.0502798207098045,-8.72692218499624
-4.9225,-0.0489313671550907,-8.67423665202514
-4.92125,-0.0475829136003769,-8.42837083149336
-4.92,-0.0475829136003769,-8.58993979927139
-4.91875,-0.0506169340984829,-8.72692218499624
-4.9175,-0.0516282742645183,-8.72692218499624
-4.91625,-0.0462344600456631,-8.7234098161315
-4.915,-0.0448860064909492,-8.7234098161315
-4.91375,-0.04690868682302,-8.60398927473035
-4.9125,-0.0479200269890553,-8.50564294651764
-4.91125,-0.0462344600456631,-8.7058479718078
-4.91,-0.0442117797135923,-8.72692218499624
-4.90875,-0.0438746663249139,-8.72692218499624
-4.9075,-0.0506169340984829,-8.72692218499624
-4.90625,-0.049942707321126,-8.72692218499624
-4.905,-0.0479200269890553,-8.51618005311186
-4.90375,-0.0472458002116984,-8.49510583992342
-4.9025,-0.0502798207098045,-8.72692218499624
-4.90125,-0.0516282742645183,-8.72692218499624
-4.9,-0.0489313671550907,-8.7234098161315
-4.89875,-0.0448860064909492,-8.7234098161315
-4.8975,-0.0455602332683062,-8.70233560294306
-4.89625,-0.0479200269890553,-8.47754399559972
-4.895,-0.0472458002116984,-8.61452638132457
-4.89375,-0.0445488931022708,-8.7234098161315
-4.8925,-0.0438746663249139,-8.7234098161315
-4.89125,-0.0489313671550907,-8.72692218499624
-4.89,-0.0502798207098045,-8.72692218499624
-4.88875,-0.0479200269890553,-8.59345216813613
-4.8875,-0.0475829136003769,-8.4670068890055
-4.88625,-0.0489313671550907,-8.6882861274841
-4.885,-0.0512911608758398,-8.72692218499624
-4.88375,-0.0509540474871614,-8.72692218499624
-4.8825,-0.0445488931022708,-8.7234098161315
-4.88125,-0.0452231198796277,-8.7234098161315
-4.88,-0.0482571403777338,-8.5196924219766
-4.87875,-0.0475829136003769,-8.52320479084134
-4.8775,-0.0452231198796277,-8.72692218499624
-4.87625,-0.0438746663249139,-8.72692218499624
-4.875,-0.0462344600456631,-8.72692218499624
-4.87375,-0.0506169340984829,-8.72692218499624
-4.8725,-0.0492684805437691,-8.7058479718078
-4.87125,-0.0475829136003769,-8.45646978241128
-4.87,-0.0482571403777338,-8.59345216813613
-4.86875,-0.0509540474871614,-8.72692218499624
-4.8675,-0.0516282742645183,-8.72692218499624
-4.86625,-0.0465715734343415,-8.7234098161315
-4.865,-0.0448860064909492,-8.7234098161315
-4.86375,-0.04690868682302,-8.62857585678353
-4.8625,-0.0479200269890553,-8.48808110219394
-4.86125,-0.0465715734343415,-8.69531086521358
-4.86,-0.0442117797135923,-8.7234098161315
-4.85875,-0.0442117797135923,-8.72692218499624
-4.8575,-0.0506169340984829,-8.72692218499624
-4.85625,-0.049942707321126,-8.72692218499624
-4.855,-0.0475829136003769,-8.46349452014076
-4.85375,-0.0475829136003769,-8.48105636446446
-4.8525,-0.049942707321126,-8.72692218499624
-4.85125,-0.0516282742645183,-8.72692218499624
-4.85,-0.0485942537664122,-8.7234098161315
-4.84875,-0.0448860064909492,-8.7234098161315
-4.8475,-0.0462344600456631,-8.68477375861936
-4.84625,-0.0479200269890553,-8.50564294651764
-4.845,-0.0472458002116984,-8.62155111905405
-4.84375,-0.0445488931022708,-8.7234098161315
-4.8425,-0.0438746663249139,-8.7234098161315
-4.84125,-0.0485942537664122,-8.7234098161315
-4.84,-0.0502798207098045,-8.72692218499624
-4.83875,-0.0482571403777338,-8.62155111905405
-4.8375,-0.0475829136003769,-8.43539556922284
-4.83625,-0.0489313671550907,-8.6882861274841
-4.835,-0.0512911608758398,-8.72692218499624
-4.83375,-0.0509540474871614,-8.72692218499624
-4.8325,-0.0448860064909492,-8.7234098161315
-4.83125,-0.0452231198796277,-8.7234098161315
-4.83,-0.0482571403777338,-8.51618005311186
-4.82875,-0.0472458002116984,-8.52671715970608
-4.8275,-0.0452231198796277,-8.7234098161315
-4.82625,-0.0438746663249139,-8.7234098161315
-4.825,-0.0462344600456631,-8.7234098161315
-4.82375,-0.0506169340984829,-8.72692218499624
-4.8225,-0.0492684805437691,-8.67072428316041
-4.82125,-0.0475829136003769,-8.4670068890055
-4.82,-0.0479200269890553,-8.59696453700087
-4.81875,-0.0509540474871614,-8.72692218499624
-4.8175,-0.0516282742645183,-8.72692218499624
-4.81625,-0.0462344600456631,-8.7234098161315
-4.815,-0.0448860064909492,-8.7234098161315
-4.81375,-0.0472458002116984,-8.61101401245983
-4.8125,-0.0475829136003769,-8.47403162673498
-4.81125,-0.0465715734343415,-8.69179849634884
-4.81,-0.0442117797135923,-8.7234098161315
-4.80875,-0.0442117797135923,-8.7234098161315
-4.8075,-0.0506169340984829,-8.7234098161315
-4.80625,-0.049942707321126,-8.7234098161315
-4.805,-0.0475829136003769,-8.47754399559972
-4.80375,-0.0475829136003769,-8.49510583992342
-4.8025,-0.0502798207098045,-8.72692218499624
-4.80125,-0.0516282742645183,-8.7234098161315
-4.8,-0.0489313671550907,-8.7234098161315
-4.79875,-0.0448860064909492,-8.71989744726676
-4.7975,-0.0462344600456631,-8.69179849634884
-4.79625,-0.0482571403777338,-8.53022952857082
-4.795,-0.04690868682302,-8.61101401245983
-4.79375,-0.0445488931022708,-8.7234098161315
-4.7925,-0.0438746663249139,-8.7234098161315
-4.79125,-0.0485942537664122,-8.7234098161315
-4.79,-0.0502798207098045,-8.72692218499624
-4.78875,-0.0479200269890553,-8.60750164359509
-4.7875,-0.0475829136003769,-8.41783372489915
-4.78625,-0.0489313671550907,-8.68126138975462
-4.785,-0.0512911608758398,-8.7234098161315
-4.78375,-0.0509540474871614,-8.7234098161315
-4.7825,-0.0445488931022708,-8.7234098161315
-4.78125,-0.0452231198796277,-8.7234098161315
-4.78,-0.0479200269890553,-8.51618005311186
-4.77875,-0.0479200269890553,-8.54076663516503
-4.7775,-0.0452231198796277,-8.7234098161315
-4.77625,-0.0438746663249139,-8.7234098161315
-4.775,-0.0462344600456631,-8.7234098161315
-4.77375,-0.0502798207098045,-8.7234098161315
-4.7725,-0.0489313671550907,-8.67423665202514
-4.77125,-0.0475829136003769,-8.44593267581706
-4.77,-0.0475829136003769,-8.57940269267717
-4.76875,-0.0506169340984829,-8.7234098161315
-4.7675,-0.0516282742645183,-8.7234098161315
-4.76625,-0.0462344600456631,-8.71989744726676
-4.765,-0.0448860064909492,-8.7234098161315
-4.76375,-0.04690868682302,-8.59345216813613
-4.7625,-0.0475829136003769,-8.4845687333292
-4.76125,-0.0462344600456631,-8.70233560294306
-4.76,-0.0438746663249139,-8.7234098161315
-4.75875,-0.0435375529362354,-8.7234098161315
