#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,-0.0968014683474307,-8.71638507840202
-4.99875,-0.0998354888455368,-8.71638507840202
-4.9975,-0.098487035290823,-8.7058479718078
-4.99625,-0.0978128085134661,-8.67072428316041
-4.995,-0.098487035290823,-8.69882323407832
-4.99375,-0.101183942400251,-8.71638507840202
-4.9925,-0.101858169177607,-8.71638507840202
-4.99125,-0.0961272415700738,-8.71638507840202
-4.99,-0.0954530147927169,-8.71638507840202
-4.98875,-0.0974756951247876,-8.69531086521358
-4.9875,-0.0974756951247876,-8.68126138975462
-4.98625,-0.0954530147927169,-8.71287270953728
-4.985,-0.0930932210719678,-8.71287270953728
-4.98375,-0.0937674478493247,-8.71638507840202
-4.9825,-0.0994983754568583,-8.71638507840202
-4.98125,-0.098487035290823,-8.71287270953728
-4.98,-0.0971385817361092,-8.67774902088988
-4.97875,-0.0968014683474307,-8.68477375861936
-4.9775,-0.0998354888455368,-8.71638507840202
-4.97625,-0.101183942400251,-8.71638507840202
-4.975,-0.0974756951247876,-8.71638507840202
-4.97375,-0.0944416746266816,-8.71287270953728
-4.9725,-0.0957901281813954,-8.70233560294306
-4.97125,-0.0974756951247876,-8.67774902088988
-4.97,-0.0957901281813954,-8.70233560294306
-4.96875,-0.0930932210719678,-8.71638507840202
-4.9675,-0.0920818809059324,-8.71287270953728
-4.96625,-0.0974756951247876,-8.71638507840202
-4.965,-0.0981499219021445,-8.71638507840202
-4.96375,-0.0964643549587523,-8.6882861274841
-4.9625,-0.0964643549587523,-8.67423665202514
-4.96125,-0.0981499219021445,-8.71638507840202
-4.96,-0.100172602234215,-8.71638507840202
-4.95875,-0.0991612620681799,-8.71638507840202
-4.9575,-0.0937674478493247,-8.71638507840202
-4.95625,-0.0941045612380031,-8.71638507840202
-4.955,-0.0964643549587523,-8.68477375861936
-4.95375,-0.0961272415700738,-8.69179849634884
-4.9525,-0.0930932210719678,-8.71638507840202
-4.95125,-0.091744767517254,-8.71287270953728
-4.95,-0.09477878801536,-8.71638507840202
-4.94875,-0.0978128085134661,-8.71638507840202
-4.9475,-0.0964643549587523,-8.69882323407832
-4.94625,-0.0957901281813954,-8.66721191429567
-4.945,-0.0961272415700738,-8.69882323407832
-4.94375,-0.0991612620681799,-8.71638507840202
-4.9425,-0.0998354888455368,-8.71638507840202
-4.94125,-0.0937674478493247,-8.71287270953728
-4.94,-0.0930932210719678,-8.71287270953728
-4.93875,-0.0954530147927169,-8.69179849634884
-4.9375,-0.0957901281813954,-8.68126138975462
-4.93625,-0.0934303344606462,-8.71287270953728
-4.935,-0.0910705407398971,-8.71287270953728
-4.93375,-0.091744767517254,-8.71287270953728
-4.9325,-0.0971385817361092,-8.71638507840202
-4.93125,-0.0964643549587523,-8.71638507840202
-4.93,-0.0951159014040385,-8.67072428316041
-4.92875,-0.09477878801536,-8.68477375861936
-4.9275,-0.0978128085134661,-8.71638507840202
-4.92625,-0.0991612620681799,-8.71638507840202
-4.925,-0.0954530147927169,-8.71638507840202
-4.92375,-0.0924189942946109,-8.71287270953728
-4.9225,-0.0934303344606462,-8.7058479718078
-4.92125,-0.0954530147927169,-8.67774902088988
-4.92,-0.0934303344606462,-8.70233560294306
-4.91875,-0.0907334273512186,-8.71287270953728
-4.9175,-0.0900592005738617,-8.71638507840202
-4.91625,-0.0954530147927169,-8.71638507840202
-4.915,-0.0961272415700738,-8.71638507840202
-4.91375,-0.0944416746266816,-8.69179849634884
-4.9125,-0.0941045612380031,-8.67423665202514
-4.91125,-0.0961272415700738,-8.71287270953728
-4.91,-0.0981499219021445,-8.71638507840202
-4.90875,-0.0968014683474307,-8.71638507840202
-4.9075,-0.091744767517254,-8.71287270953728
-4.90625,-0.0920818809059324,-8.71287270953728
-4.905,-0.09477878801536,-8.68126138975462
-4.90375,-0.0941045612380031,-8.6882861274841
-4.9025,-0.0907334273512186,-8.71287270953728
-4.90125,-0.0893849737965048,-8.71287270953728
-4.9,-0.0927561076832893,-8.71638507840202
-4.89875,-0.0957901281813954,-8.71638507840202
-4.8975,-0.0941045612380031,-8.69882323407832
-4.89625,-0.0937674478493247,-8.66721191429567
-4.895,-0.0941045612380031,-8.69882323407832
-4.89375,-0.0971385817361092,-8.71638507840202
-4.8925,-0.0978128085134661,-8.71638507840202
-4.89125,-0.091744767517254,-8.71287270953728
-4.89,-0.0910705407398971,-8.71287270953728
-4.88875,-0.0934303344606462,-8.69531086521358
-4.8875,-0.0937674478493247,-8.68126138975462
-4.88625,-0.0910705407398971,-8.71287270953728
-4.885,-0.0890478604078263,-8.71287270953728
-4.88375,-0.0897220871851832,-8.71287270953728
-4.8825,-0.0951159014040385,-8.71638507840202
-4.88125,-0.0944416746266816,-8.71287270953728
-4.88,-0.0924189942946109,-8.66369954543092
-4.87875,-0.0930932210719678,-8.68126138975462
-4.8775,-0.0957901281813954,-8.71638507840202
-4.87625,-0.0968014683474307,-8.71638507840202
-4.875,-0.0934303344606462,-8.71638507840202
-4.87375,-0.0903963139625401,-8.71287270953728
-4.8725,-0.091744767517254,-8.70233560294306
-4.87125,-0.0930932210719678,-8.67774902088988
-4.87,-0.091744767517254,-8.70233560294306
-4.86875,-0.0887107470191479,-8.71287270953728
-4.8675,-0.088036520241791,-8.71287270953728
-4.86625,-0.0934303344606462,-8.71638507840202
-4.865,-0.0941045612380031,-8.71638507840202
-4.86375,-0.0920818809059324,-8.68477375861936
-4.8625,-0.0920818809059324,-8.66018717656619
-4.86125,-0.0941045612380031,-8.71287270953728
-4.86,-0.0961272415700738,-8.71638507840202
-4.85875,-0.0951159014040385,-8.71638507840202
-4.8575,-0.0897220871851832,-8.71287270953728
-4.85625,-0.0900592005738617,-8.71287270953728
-4.855,-0.0924189942946109,-8.68126138975462
-4.85375,-0.091744767517254,-8.6882861274841
-4.8525,-0.0887107470191479,-8.71287270953728
-4.85125,-0.0873622934644341,-8.71287270953728
-4.85,-0.0903963139625401,-8.71638507840202
-4.84875,-0.0934303344606462,-8.71638507840202
-4.8475,-0.0920818809059324,-8.70233560294306
-4.84625,-0.0914076541285755,-8.66721191429567
-4.845,-0.0920818809059324,-8.69531086521358
-4.84375,-0.09477878801536,-8.71638507840202
-4.8425,-0.0954530147927169,-8.71638507840202
-4.84125,-0.0893849737965048,-8.71638507840202
-4.84,-0.0890478604078263,-8.71638507840202
-4.83875,-0.091744767517254,-8.6882861274841
-4.8375,-0.0910705407398971,-8.67423665202514
-4.83625,-0.0890478604078263,-8.71287270953728
-4.835,-0.0866880666870772,-8.71287270953728
-4.83375,-0.0873622934644341,-8.71638507840202
-4.8325,-0.0930932210719678,-8.71638507840202
-4.83125,-0.0920818809059324,-8.71287270953728
-4.83,-0.0907334273512186,-8.67072428316041
-4.82875,-0.0907334273512186,-8.68126138975462
-4.8275,-0.0934303344606462,-8.71638507840202
-4.82625,-0.09477878801536,-8.71638507840202
-4.825,-0.0910705407398971,-8.71638507840202
-4.82375,-0.088036520241791,-8.71287270953728
-4.8225,-0.0897220871851832,-8.70233560294306
