#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,-0.141300435652986,-0.602813000853285
-4.99875,-0.141300435652986,-0.602813000853285
-4.9975,-0.140963322264308,-0.602813000853285
-4.99625,-0.140289095486951,-0.599300631988545
-4.995,-0.139614868709594,-0.595788263123806
-4.99375,-0.138603528543559,-0.592275894259066
-4.9925,-0.13826641515488,-0.588763525394326
-4.99125,-0.137929301766202,-0.588763525394326
-4.99,-0.137929301766202,-0.588763525394326
-4.98875,-0.13826641515488,-0.592275894259066
-4.9875,-0.138603528543559,-0.592275894259066
-4.98625,-0.139277755320916,-0.595788263123806
-4.985,-0.139951982098272,-0.599300631988545
-4.98375,-0.139951982098272,-0.599300631988545
-4.9825,-0.139951982098272,-0.599300631988545
-4.98125,-0.139951982098272,-0.599300631988545
-4.98,-0.139277755320916,-0.595788263123806
-4.97875,-0.138603528543559,-0.592275894259066
-4.9775,-0.137929301766202,-0.588763525394326
-4.97625,-0.137255074988845,-0.585251156529587
-4.975,-0.136917961600166,-0.585251156529587
-4.97375,-0.136580848211488,-0.585251156529587
-4.9725,-0.136917961600166,-0.585251156529587
-4.97125,-0.137255074988845,-0.588763525394326
-4.97,-0.137929301766202,-0.588763525394326
-4.96875,-0.138603528543559,-0.592275894259066
-4.9675,-0.138940641932237,-0.595788263123806
-4.96625,-0.138940641932237,-0.595788263123806
-4.965,-0.138940641932237,-0.595788263123806
-4.96375,-0.138603528543559,-0.592275894259066
-4.9625,-0.137929301766202,-0.588763525394326
-4.96125,-0.137255074988845,-0.585251156529587
-4.96,-0.13624373482281,-0.581738787664847
-4.95875,-0.135906621434131,-0.581738787664847
-4.9575,-0.135569508045453,-0.581738787664847
-4.95625,-0.135906621434131,-0.581738787664847
-4.955,-0.13624373482281,-0.581738787664847
-4.95375,-0.136580848211488,-0.585251156529587
-4.9525,-0.137255074988845,-0.588763525394326
-4.95125,-0.137929301766202,-0.588763525394326
-4.95,-0.137929301766202,-0.588763525394326
-4.94875,-0.137929301766202,-0.588763525394326
-4.9475,-0.137592188377523,-0.588763525394326
-4.94625,-0.136917961600166,-0.585251156529587
-4.945,-0.13624373482281,-0.581738787664847
-4.94375,-0.135569508045453,-0.578226418800107
-4.9425,-0.134895281268096,-0.574714049935367
-4.94125,-0.134558167879417,-0.574714049935367
-4.94,-0.134558167879417,-0.574714049935367
-4.93875,-0.134895281268096,-0.574714049935367
-4.9375,-0.135569508045453,-0.578226418800107
-4.93625,-0.135906621434131,-0.581738787664847
-4.935,-0.136580848211488,-0.585251156529587
-4.93375,-0.136917961600166,-0.585251156529587
-4.9325,-0.136917961600166,-0.585251156529587
-4.93125,-0.136580848211488,-0.585251156529587
-4.93,-0.13624373482281,-0.581738787664847
-4.92875,-0.135232394656774,-0.578226418800107
-4.9275,-0.134558167879417,-0.574714049935367
-4.92625,-0.13388394110206,-0.571201681070628
-4.925,-0.133546827713382,-0.571201681070628
-4.92375,-0.133546827713382,-0.571201681070628
-4.9225,-0.133546827713382,-0.571201681070628
-4.92125,-0.134221054490739,-0.574714049935367
-4.92,-0.134558167879417,-0.574714049935367
-4.91875,-0.135232394656774,-0.578226418800107
-4.9175,-0.135569508045453,-0.581738787664847
-4.91625,-0.135906621434131,-0.581738787664847
-4.915,-0.135569508045453,-0.578226418800107
-4.91375,-0.135232394656774,-0.578226418800107
-4.9125,-0.134558167879417,-0.574714049935367
