#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,-2.10161479081818,-1.56685193841174
-4.99875,-2.10195190420686,-1.56685193841174
-4.9975,-2.10228901759554,-1.56685193841174
-4.99625,-2.10296324437289,-1.56685193841174
-4.995,-2.10296324437289,-1.56685193841174
-4.99375,-2.10296324437289,-1.56685193841174
-4.9925,-2.10262613098421,-1.56685193841174
-4.99125,-2.10228901759554,-1.56685193841174
-4.99,-2.10161479081818,-1.56685193841174
-4.98875,-2.10094056404082,-1.56685193841174
-4.9875,-2.09992922387479,-1.56685193841174
-4.98625,-2.09992922387479,-1.56651811053696
-4.985,-2.09992922387479,-1.56685193841174
-4.98375,-2.09992922387479,-1.56685193841174
-4.9825,-2.10026633726347,-1.56685193841174
-4.98125,-2.10060345065214,-1.56685193841174
-4.98,-2.1012776774295,-1.56685193841174
-4.97875,-2.10161479081818,-1.56685193841174
-4.9775,-2.10161479081818,-1.56685193841174
-4.97625,-2.1012776774295,-1.56685193841174
-4.975,-2.10094056404082,-1.56685193841174
-4.97375,-2.10026633726347,-1.56685193841174
-4.9725,-2.09959211048611,-1.56685193841174
-4.97125,-2.09858077032007,-1.56685193841174
-4.97,-2.09824365693139,-1.56685193841174
-4.96875,-2.09824365693139,-1.56685193841174
-4.9675,-2.09824365693139,-1.56685193841174
-4.96625,-2.09824365693139,-1.56685193841174
-4.965,-2.09891788370875,-1.56685193841174
-4.96375,-2.09925499709743,-1.56685193841174
-4.9625,-2.09992922387479,-1.56685193841174
-4.96125,-2.09992922387479,-1.56685193841174
-4.96,-2.09959211048611,-1.56685193841174
-4.95875,-2.09959211048611,-1.56685193841174
-4.9575,-2.09891788370875,-1.56685193841174
-4.95625,-2.09824365693139,-1.56685193841174
-4.955,-2.09756943015404,-1.56685193841174
-4.95375,-2.09689520337668,-1.56685193841174
-4.9525,-2.096558089988,-1.56685193841174
-4.95125,-2.096558089988,-1.56685193841174
-4.95,-2.09689520337668,-1.56685193841174
-4.94875,-2.09723231676536,-1.56685193841174
-4.9475,-2.09756943015404,-1.56685193841174
-4.94625,-2.09824365693139,-1.56685193841174
-4.945,-2.09824365693139,-1.56685193841174
-4.94375,-2.09824365693139,-1.56685193841174
-4.9425,-2.09790654354272,-1.56685193841174
