#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Sample,Time (s),C1 (mV),C2 (V)
0,-5,268.8,2.33
1,-4.99875,191.8,2.328
2,-4.9975,198,2.316
3,-4.99625,232,2.306
4,-4.995,246.8,2.3
5,-4.99375,286,2.288
6,-4.9925,263,2.282
7,-4.99125,184.8,2.274
8,-4.99,211,2.268
9,-4.98875,265.6,2.26
10,-4.9875,279.6,2.254
11,-4.98625,198,2.242
12,-4.985,190.6,2.236
13,-4.98375,223.2,2.228
14,-4.9825,243.4,2.222
15,-4.98125,287.2,2.214
16,-4.98,267.4,2.204
17,-4.97875,180,2.198
18,-4.9775,217.2,2.186
19,-4.97625,275.2,2.18
20,-4.975,252.6,2.172
21,-4.97375,182.4,2.162
22,-4.9725,197.6,2.156
23,-4.97125,245.2,2.148
24,-4.97,285.2,2.142
25,-4.96875,278.2,2.134
26,-4.9675,189.2,2.124
27,-4.96625,205.4,2.116
28,-4.965,246.4,2.106
29,-4.96375,295.6,2.098
30,-4.9625,200.2,2.088
31,-4.96125,177.8,2.082
32,-4.96,231,2.07
33,-4.95875,280.8,2.064
34,-4.9575,295.6,2.06
35,-4.95625,191.6,2.05
36,-4.955,191.6,2.04
37,-4.95375,254.2,2.028
38,-4.9525,299.4,2.022
39,-4.95125,186.4,2.014
40,-4.95,174,2.004
41,-4.94875,237.8,1.998
42,-4.9475,299.8,1.99
43,-4.94625,291,1.98
44,-4.945,176,1.972
45,-4.94375,202,1.962
46,-4.9425,282.6,1.952
47,-4.94125,248.2,1.944
48,-4.94,174.6,1.934
49,-4.93875,207.8,1.926
50,-4.9375,259.2,1.916
51,-4.93625,314,1.906
52,-4.935,215.4,1.902
53,-4.93375,184.4,1.892
54,-4.9325,266.8,1.882
55,-4.93125,276.8,1.874
56,-4.93,177.4,1.864
57,-4.92875,189.8,1.854
58,-4.9275,242,1.846
59,-4.92625,305.4,1.836
60,-4.925,244.8,1.826
61,-4.92375,176.6,1.822
62,-4.9225,255.6,1.808
63,-4.92125,278.6,1.8
64,-4.92,178.8,1.79
65,-4.91875,196,1.78
66,-4.9175,258,1.768
67,-4.91625,316.2,1.758
68,-4.915,206,1.748
69,-4.91375,187.4,1.74
70,-4.9125,259,1.73
71,-4.91125,280.2,1.72
72,-4.91,169.2,1.712
73,-4.90875,199.6,1.702
74,-4.9075,283.6,1.696
75,-4.90625,308.8,1.684
76,-4.905,171.4,1.674
77,-4.90375,201,1.664
78,-4.9025,303.8,1.652
79,-4.90125,227.6,1.646
80,-4.9,157.8,1.636
81,-4.89875,227,1.624
82,-4.8975,325,1.614
83,-4.89625,250.8,1.608
84,-4.895,164.2,1.596
85,-4.89375,252.8,1.586
