#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-5,3.34131006258823,-4.70174746600453
-4.99875,3.70101004830814,-5.99429920822874
-4.9975,3.68853685292704,-5.97322499504031
-4.99625,3.67741211110065,-5.98376210163453
-4.995,3.66797293621765,-5.98024973276979
-4.99375,3.65448840067051,-5.97673736390504
-4.9925,3.64167809190073,-5.99429920822874
-4.99125,3.63257603040641,-5.99781157709348
-4.99,3.62010283502531,-5.97673736390504
-4.98875,3.60830386642156,-5.98024973276979
-4.9875,3.59751623798385,-5.98376210163453
-4.98625,3.58672860954614,-5.97673736390504
-4.985,3.57358118738768,-5.990786839364
-4.98375,3.56414201250469,-5.99781157709348
-4.9825,3.55166881712358,-5.98024973276979
-4.98125,3.53751005479909,-5.98024973276979
-4.98,3.52705953975006,-5.98727447049926
-4.97875,3.51458634436895,-5.97673736390504
-4.9775,3.50278737576521,-5.98376210163453
-4.97625,3.48930284021807,-5.99781157709348
-4.975,3.47817809839168,-5.98376210163453
-4.97375,3.46739046995397,-5.97322499504031
-4.9725,3.45626572812758,-5.98727447049926
-4.97125,3.44210696580309,-5.98024973276979
-4.97,3.42997088381066,-5.98376210163453
-4.96875,3.4215430490937,-5.99781157709348
-4.9675,3.4090698537126,-5.990786839364
-4.96625,3.39558531816546,-5.97322499504031
-4.965,3.38378634956172,-5.98376210163453
-4.96375,3.3746842880674,-5.98376210163453
-4.9625,3.36119975252026,-5.98024973276979
-4.96125,3.34838944375048,-5.99781157709348
-4.96,3.33625336175805,-5.99781157709348
-4.95875,3.32479150654299,-5.97673736390504
-4.9575,3.31434099149396,-5.98376210163453
-4.95625,3.30220490950153,-5.98376210163453
-4.955,3.28939460073175,-5.97673736390504
-4.95375,3.27591006518461,-5.990786839364
-4.9525,3.26478532335822,-6.00132394595822
-4.95125,3.25399769492051,-5.98024973276979
-4.95,3.24152449953941,-5.97673736390504
-4.94875,3.23006264432434,-5.98727447049926
-4.9475,3.21590388199985,-5.97673736390504
-4.94625,3.20747604728289,-5.98727447049926
-4.945,3.19264305818103,-5.99781157709348
-4.94375,3.18151831635465,-5.98376210163453
-4.9425,3.17140491469429,-5.97673736390504
-4.94125,3.1602801728679,-5.98727447049926
-4.94,3.14645852393209,-5.97673736390504
-4.93875,3.13432244193966,-5.98024973276979
-4.9375,3.12151213316988,-5.99781157709348
-4.93625,3.10937605117746,-5.990786839364
-4.935,3.09892553612842,-5.96971262617557
-4.93375,3.08645234074732,-5.98376210163453
-4.9325,3.07600182569829,-5.98376210163453
-4.93125,3.06150594998512,-5.98024973276979
-4.93,3.04936986799269,-5.99429920822874
-4.92875,3.03723378600027,-5.99429920822874
-4.9275,3.02644615756256,-5.97322499504031
-4.92625,3.01363584879278,-5.98024973276979
-4.925,3.00048842663432,-5.98376210163453
-4.92375,2.98835234464189,-5.97673736390504
-4.9225,2.97790182959286,-5.990786839364
-4.92125,2.96643997437779,-6.00132394595822
-4.92,2.9522812120533,-5.98024973276979
-4.91875,2.93947090328352,-5.97673736390504
-4.9175,2.92800904806845,-5.98727447049926
-4.91625,2.91654719285338,-5.97322499504031
-4.915,2.90508533763832,-5.98727447049926
-4.91375,2.89261214225721,-5.99781157709348
-4.9125,2.88047606026479,-5.98376210163453
-4.91125,2.86901420504972,-5.97322499504031
-4.91,2.85552966950258,-5.98376210163453
-4.90875,2.84339358751016,-5.97673736390504
-4.9075,2.83226884568377,-5.98024973276979
-4.90625,2.81912142352531,-5.99781157709348
-4.905,2.80698534153289,-5.990786839364
-4.90375,2.79653482648385,-5.97673736390504
-4.9025,2.78372451771407,-5.98376210163453
-4.90125,2.77023998216693,-5.98024973276979
-4.9,2.75877812695187,-5.97673736390504
-4.89875,2.74630493157076,-5.99429920822874
-4.8975,2.73416884957834,-5.99429920822874
-4.89625,2.72169565419724,-5.96971262617557
-4.895,2.71124513914821,-5.98024973276979
-4.89375,2.69843483037842,-5.98376210163453
-4.8925,2.686298748386,-5.97673736390504
-4.89125,2.67180287267283,-5.990786839364
-4.89,2.66067813084644,-5.99781157709348
-4.88875,2.64786782207666,-5.97673736390504
-4.8875,2.63505751330688,-5.97673736390504
-4.88625,2.62292143131445,-5.98727447049926
-4.885,2.60977400915599,-5.97673736390504
-4.88375,2.59831215394092,-5.990786839364
-4.8825,2.5861760719485,-6.00132394595822
-4.88125,2.5737028765674,-5.98376210163453
-4.88,2.56055545440894,-5.97322499504031
-4.87875,2.54875648580519,-5.98727447049926
-4.8775,2.53695751720145,-5.97673736390504
-4.87625,2.52583277537506,-5.98376210163453
-4.875,2.51066267288453,-5.99781157709348
-4.87375,2.50122349800153,-5.990786839364
-4.8725,2.48908741600911,-5.97322499504031
-4.87125,2.47627710723933,-5.98376210163453
-4.87,2.46144411813747,-5.98024973276979
-4.86875,2.4516678298658,-5.97673736390504
-4.8675,2.43953174787337,-5.99429920822874
-4.86625,2.42537298554888,-5.99429920822874
-4.865,2.41458535711117,-5.97673736390504
-4.86375,2.40244927511874,-5.98376210163453
-4.8625,2.38862762618293,-5.98376210163453
-4.86125,2.37682865757918,-5.97322499504031
-4.86,2.36536680236412,-5.990786839364
-4.85875,2.35188226681698,-5.99781157709348
-4.8575,2.34008329821323,-5.97673736390504
-4.85625,2.32828432960949,-5.97673736390504
-4.855,2.31682247439442,-5.98727447049926
-4.85375,2.30165237190389,-5.97673736390504
-4.8525,2.28985340330014,-5.98727447049926
-4.85125,2.27771732130772,-5.99781157709348
-4.85,2.26524412592661,-5.98376210163453
-4.84875,2.25344515732287,-5.97322499504031
-4.8475,2.23962350838705,-5.98727447049926
-4.84625,2.22849876656066,-5.97673736390504
-4.845,2.21602557117956,-5.98376210163453
-4.84375,2.20456371596449,-5.99781157709348
-4.8425,2.19310186074943,-5.990786839364
-4.84125,2.17928021181361,-5.97322499504031
-4.84,2.16714412982119,-5.98376210163453
-4.83875,2.15467093444008,-5.98024973276979
-4.8375,2.14388330600237,-5.98024973276979
-4.83625,2.13073588384391,-5.99429920822874
-4.835,2.11826268846281,-5.99781157709348
-4.83375,2.10781217341378,-5.97322499504031
-4.8325,2.09432763786664,-5.98024973276979
-4.83125,2.0808431023195,-5.98376210163453
-4.83,2.06870702032708,-5.97673736390504
-4.82875,2.0589307320554,-5.990786839364
-4.8275,2.04544619650826,-5.99781157709348
-4.82625,2.03128743418377,-5.97673736390504
-4.825,2.02083691913474,-5.98024973276979
-4.82375,2.00802661036496,-5.98727447049926
-4.8225,1.99757609531592,-5.97673736390504
-4.82125,1.98476578654614,-5.98727447049926
-4.82,1.97262970455372,-5.99781157709348
-4.81875,1.96083073594997,-5.98376210163453
-4.8175,1.95004310751226,-5.97322499504031
-4.81625,1.93655857196513,-5.98727447049926
-4.815,1.92577094352741,-5.98024973276979
-4.81375,1.91093795442556,-5.98376210163453
-4.8125,1.90015032598785,-5.99781157709348
-4.81125,1.88936269755014,-5.990786839364
-4.81,1.875878162003,-5.97322499504031
-4.80875,1.86374208001058,-5.98376210163453
-4.8075,1.85126888462948,-5.98376210163453
-4.80625,1.83946991602573,-5.98024973276979
-4.805,1.82699672064463,-5.99781157709348
-4.80375,1.81688331898427,-5.99781157709348
-4.8025,1.80339878343714,-5.97322499504031
-4.80125,1.7929482683881,-5.98376210163453
-4.8,1.78148641317304,-5.98376210163453
-4.79875,1.76867610440326,-5.97673736390504
-4.7975,1.75620290902215,-5.990786839364
-4.79625,1.74339260025237,-5.99781157709348
-4.795,1.73294208520334,-5.98024973276979
-4.79375,1.72114311659959,-5.97673736390504
-4.7925,1.71001837477321,-5.98376210163453
-4.79125,1.69720806600342,-5.97322499504031
-4.79,1.68709466434307,-5.98727447049926
-4.78875,1.67428435557329,-5.99781157709348
-4.7875,1.66282250035822,-5.98376210163453
-4.78625,1.65034930497712,-5.97673736390504
-4.785,1.63989878992809,-5.98727447049926
-4.78375,1.62708848115831,-5.97673736390504
-4.7825,1.61528951255456,-5.98024973276979
-4.78125,1.60483899750553,-5.99781157709348
-4.78,1.59169157534707,-5.98727447049926
-4.77875,1.57955549335465,-5.96971262617557
-4.7775,1.56944209169429,-5.98376210163453
-4.77625,1.55798023647922,-5.98376210163453
-4.775,1.54449570093209,-5.98024973276979
-4.77375,1.53303384571702,-5.99429920822874
-4.7725,1.52325755744534,-5.99429920822874
-4.77125,1.51078436206424,-5.97322499504031
-4.77,1.49932250684917,-5.98024973276979
-4.76875,1.4895462185775,-5.98727447049926
-4.7675,1.47639879641904,-5.97673736390504
-4.76625,1.46561116798133,-5.99429920822874
-4.765,1.45414931276626,-5.99781157709348
-4.76375,1.44369879771723,-5.98024973276979
-4.7625,1.43156271572481,-5.97673736390504
-4.76125,1.42010086050974,-5.98727447049926
-4.76,1.40965034546071,-5.97322499504031
-4.75875,1.39852560363432,-5.98727447049926
-4.7575,1.38672663503057,-5.99781157709348
-4.75625,1.37391632626079,-5.98727447049926
-4.755,1.3627915844344,-5.97322499504031
-4.75375,1.35065550244198,-5.98727447049926
-4.7525,1.34054210078162,-5.97673736390504
-4.75125,1.32975447234391,-5.98024973276979
-4.75,1.31660705018545,-5.99781157709348
-4.74875,1.30548230835906,-5.990786839364
-4.7475,1.29570602008739,-5.97673736390504
-4.74625,1.28525550503836,-5.98727447049926
-4.745,1.27413076321197,-5.98376210163453
-4.74375,1.26098334105351,-5.97673736390504
-4.7425,1.25154416617051,-5.99429920822874
-4.74125,1.23873385740073,-5.99429920822874
-4.74,1.2282833423517,-5.97322499504031
-4.73875,1.21715860052531,-5.98376210163453
-4.7375,1.20468540514421,-5.98727447049926
-4.73625,1.19288643654046,-5.97673736390504
-4.735,1.18176169471407,-5.990786839364
-4.73375,1.1719854064424,-5.99781157709348
-4.7325,1.15917509767262,-5.98024973276979
-4.73125,1.14771324245755,-5.97673736390504
-4.73,1.13726272740852,-5.98727447049926
-4.72875,1.12681221235949,-5.97673736390504
-4.7275,1.11669881069913,-5.98727447049926
-4.72625,1.10489984209539,-5.99781157709348
-4.725,1.09310087349164,-5.98727447049926
-4.72375,1.08332458521997,-5.97322499504031
-4.7225,1.07051427645018,-5.98727447049926
-4.72125,1.0577039676804,-5.97673736390504
-4.72,1.04893901957476,-5.98376210163453
-4.71875,1.03612871080498,-5.99781157709348
-4.7175,1.02668953592199,-5.99429920822874
-4.71625,1.01421634054088,-5.97322499504031
-4.715,1.00208025854846,-5.98376210163453
-4.71375,0.991292630110748,-5.98024973276979
-4.7125,0.981179228450395,-5.97673736390504
-4.71125,0.967694692903257,-5.99429920822874
-4.71,0.957581291242903,-5.99429920822874
-4.70875,0.945445209250479,-5.97673736390504
-4.7075,0.934994694201447,-5.98376210163453
-4.70625,0.923869952375058,-5.98727447049926
-4.705,0.911396756993955,-5.97322499504031
-4.70375,0.900609128556245,-5.98727447049926
-4.7025,0.890495726895891,-5.99781157709348
-4.70125,0.874651397628004,-5.97673736390504
-4.7,0.863863769190294,-5.97673736390504
-4.69875,0.854087480918619,-5.98727447049926
-4.6975,0.841951398926194,-5.97673736390504
-4.69625,0.831500883877162,-5.98376210163453
-4.695,0.819701915273416,-5.99781157709348
-4.69375,0.807902946669671,-5.98727447049926
-4.6925,0.794755524511211,-5.97322499504031
-4.69125,0.784305009462179,-5.98376210163453
-4.69,0.772506040858433,-5.98024973276979
-4.68875,0.761381299032044,-5.98024973276979
-4.6875,0.748908103650942,-5.99781157709348
-4.68625,0.739806042156623,-5.99429920822874
-4.685,0.728344186941556,-5.97322499504031
-4.68375,0.71654521833781,-5.98376210163453
-4.6825,0.703060682790672,-5.98376210163453
-4.68125,0.692947281130319,-5.97673736390504
-4.68,0.680474085749216,-5.99429920822874
-4.67875,0.670023570700184,-5.99781157709348
-4.6775,0.657213261930403,-5.97673736390504
-4.67625,0.645077179937979,-5.97673736390504
-4.675,0.635638005054982,-5.98376210163453
-4.67375,0.624176149839915,-5.97322499504031
-4.6725,0.611028727681455,-5.990786839364
-4.67125,0.598892645689031,-6.00132394595822
-4.67,0.587767903862642,-5.98376210163453
-4.66875,0.57731738881361,-5.98024973276979
-4.6675,0.564169966655151,-5.98727447049926
-4.66625,0.553719451606119,-5.97673736390504
-4.665,0.543943163334443,-5.98376210163453
-4.66375,0.532481308119376,-5.99781157709348
-4.6625,0.519670999349595,-5.98727447049926
-4.66125,0.508209144134528,-5.97322499504031
-4.66,0.49472460858739,-5.98727447049926
-4.65875,0.483262753372322,-5.98024973276979
-4.6575,0.472138011545933,-5.98024973276979
-4.65625,0.460676156330866,-5.99429920822874
-4.655,0.448540074338442,-5.99429920822874
-4.65375,0.436741105734696,-5.97322499504031
-4.6525,0.423593683576236,-5.98376210163453
-4.65125,0.41415450869324,-5.98727447049926
-4.65,0.402692653478173,-5.98024973276979
-4.64875,0.390893684874427,-5.99429920822874
-4.6475,0.378420489493324,-6.00132394595822
-4.64625,0.367969974444292,-5.97673736390504
-4.645,0.355496779063189,-5.98024973276979
-4.64375,0.3443720372368,-5.98727447049926
-4.6425,0.329876161523627,-5.97673736390504
-4.64125,0.321448326806666,-5.990786839364
-4.64,0.308300904648206,-6.00132394595822
-4.63875,0.298524616376531,-5.98376210163453
-4.6375,0.286725647772785,-5.97673736390504
-4.63625,0.273578225614326,-5.98727447049926
-4.635,0.262790597176615,-5.97673736390504
-4.63375,0.25099162857287,-5.98376210163453
-4.6325,0.238181319803088,-5.99781157709348
-4.63125,0.226719464588021,-5.98727447049926
-4.63,0.213572042429561,-5.97673736390504
-4.62875,0.202110187214494,-5.98727447049926
-4.6275,0.18997410522207,-5.98024973276979
-4.62625,0.178175136618324,-5.97673736390504
-4.625,0.165364827848543,-5.99429920822874
-4.62375,0.154914312799511,-5.99429920822874
-4.6225,0.143115344195765,-5.97322499504031
-4.62125,0.130642148814662,-5.98376210163453
-4.62,0.122551427486379,-5.98727447049926
